name,zombieArtUrl,zombieModelUrl,zombieText,targetPriority,actions,minDamageDestroy,experienceProvided,damageInflicted,game,type,Description
Abomination,fAbomination-BP,mAbomination-BP,Wounds inflicted by Abominations can’t be prevented by Armour rolls.,5,1,3,5,1,Black Plague,Abomination,Haven’t seen an Abomination yet? Count yourself lucky  neighbour. You’ll recognise one as soon as you see it. Weapons don’t work. Armour don’t work. Running… well  it might work if you’re really fast. But these are relentless. Fire is what you need. A good hot fire. It’s the only thing that works.
Wolfbomination,fWolfbomination,mWolfbomination,Wounds inflicted by Abominations can’t be prevented by Armour rolls.,5,3,3,5,1,Wulfsburg,Abomination,The Big Bad Wolf exists  and it is a bloodthirsty nightmare. We don’t know yet how the Wolfbominations are created  if they are just alpha males turned zombies or the result of hideous experiments  but there is one thing for sure: if you see one  keep away from it for as long as you can. And save dragon bile for them  whatever comes for you first.
Orc Abomination,fOrc-Abomination,mOrc-Abomination,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.,5,1,3,5,3,Green Horde,Abomination,We are not yet certain of the Orc Abomination’s origin  but we know what defines it best: raw power. It is strong enough to rip an armoured soldier apart in a moment’s notice and impervious to anything but extreme damage. Spot them as early as you can in the wandering Orcish hordes  then plan two things: a way to destroy them and an escape route.
Tainted Abomination,fTainted-Abomination,mTainted-Abomination,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• When killed  Survivors within the same Zone as Tainted Abomination is dealt 3 damage (preventable by armour).• ,5,1,3,5,1,Friends and Foes,Abomination,Tainted Abominations are even more corrupted and hateful than the normal breed of Abominations. This shows on their infection as putrid and spiky growths. Upon being destroyed  the Tainted Abominations splutter acid blood and trash around with their infected spikes  so you don't want to be anywhere near these foul creatures on their final death throes. 
Abominotaur,fAbominotaur,mAbominotaur,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• Abominotaurs can smash through closed doors and walls when they move to reach their target Zone. Set their target Zone before moving them  ignoring closed doors and walls (but not Vault doors and ramparts). If an Abominotaur has to go through a closed door or wall  first put a “broken wall” token to link its starting and destination Zones  and remove any • • closed door token there can be. The broken wall is considered as an open door  and thus can generate a Zombie spawn in a previously closed building. Actors can now cross the Zones. Then proceed with moving all Zombies (as the Zombies’ route can be redefined by the wall’s destruction).,5,1,3,5,2,Abomination Pack,Abomination,The zombie plague reached the far corners of the world  up to the remote places the monsters of old used to hide from human eyes. And then these nightmares are back  turned into war machines of infected omen. You can run  but you can’t hide: they are faster  kill everyone in a large swipe  and will even smash through walls to get to you. If you had a plan  think again!
Abominatroll,fAbominatroll,mAbominatroll,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• Abominatrolls have 3 Actions to spend whenever they activate while having a Line Of Sight on a Survivor (or more). After all Zombies have gone through their Activation step and resolved their first Action (including Runners and Abominatrolls)  the Abominatroll goes through the Activation step again  using its second Action to Attack a Survivor in their Zone or • • Move if there is nobody to Attack. Then the Abominatroll goes through the Activation step for a third time  using its third Action to attack a Survivor in their Zone or Move if there is nobody to attack.,5,1,3,5,1,Abomination Pack,Abomination,The zombie plague reached the far corners of the world  up to the remote places the monsters of old used to hide from human eyes. And then these nightmares are back  turned into war machines of infected omen. You can run  but you can’t hide: they are faster  kill everyone in a large swipe  and will even smash through walls to get to you. If you had a plan  think again!
Ablobination,fAblobination,mAblobination,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• Ablobinations Attack whenever they activate while having a Line Of Sight on a Survivor (or more) at Range 0-1. Then  they perform an Attack on Survivors in ALL Zones at Range 0-1 on which they have a Line of Sight. Obstacles preventing Movement between Zones (such as ramparts) also prevent such an Attack.,5,1,3,5,1,Abomination Pack,Abomination,The zombie plague reached the far corners of the world  up to the remote places the monsters of old used to hide from human eyes. And then these nightmares are back  turned into war machines of infected omen. You can run  but you can’t hide: they are faster  kill everyone in a large swipe  and will even smash through walls to get to you. If you had a plan  think again!
Swamp Troll,fSwamp-Troll,mSwamp-Troll,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• When the Swamp Troll spawns  it will spawn in the Watering Hole closest to a Survivor,5,1,3,5,1,Rat King & Swamp Troll,Abomination,This cunning abomination lurks in the deep waters of the map  waiting to surprise any weary Survivor who happens upon its nest. 
Doom and Gloom,fDoom,mDoom,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• Spawns with the necromancer  Lord of Skulls. These brutes follow the Lord of Skulls around  considering his Zone as the noisiest on the board. It is only when they see a Survivor that they will charge them by moving 2 Zones per action  and beating them to a pulp.,5,1,3,5,1,"Special Guest Box: Adrian Smith",Abomination,Orgres are fearsome creatures by nature. But orges turned into undead abominations are truly terrifying. The necromancer known as the Lord of Skulls knew any survivors of the black plague would try to interfere with his rituals  and so he created the perfect bodyguards. He took a pair of the strongest orgres he could find and turned them into abominations. Doom and Gloom  as they are known  retain only enough thought in their shrivelled brains to follow their master anywhere he goes. However  they do tend to charge towards any survivors they see  smashing them to a pulp.
Abominarat,fAbominarat,mAbominarat,• Wounds inflicted by Abominations can’t be prevented by Armour rolls.||• Spawns 1 Zone away from the noisiest Zone on the board  in a Zone with an open passage to it (if several options are available  players choose).,5,1,3,5,1,Kickstarter Exclusive,Abomination,Rats are long-time friends and enemies of mankind. We should have imitated them as they flew in a panicked manner when the zombie plague began  as if they instinctively knew Death was in the air. For a few weeks  we got rid of rats and didn’t have to fear them to steal our food or worse  to bite us. The respite could soon be over  though  as some rats got infected and turned into giant monstrosities. The Abominarats lurk around tunnels  floors and ceilings  laying ambushes to catch the unwary off-guard. I don’t know what scares me the most: their nasty fangs  the nightmarish diseases they carry  or the way they lurk around  remaining unseen despite their size… and stench!
